Combined_ID,Year,How.happy.do.you.feel.right.now.,How.satisfied.are.you.with.your.life.in.general.,How.satisfied.are.you.with.Somerville.as.a.place.to.live.,In.general..how.similar.are.you.to.other.people.you.know._2011,When.making.decisions..are.you.more.likely.to.seek.advice.or.decide.for.yourself._2011.,How.satisfied.are.you.with.your.neighborhood.,How.proud.are.you.to.be.a.Somerville.resident._2015,How.would.you.rate.the.following..The.availability.of.information.about.city.services._2015,The.availability.of.affordable.housing_2011,How.would.you.rate.the.following..The.cost.of.housing.,How.would.you.rate.the.following..The.overall.quality.of.public.schools.in.your.community._2011,How.would.you.rate.the.following..The.overall.quality.of.public.schools.,How.would.you.rate.the.following..The.beauty.or.physical.setting_2011,How.would.you.rate.the.following..The.beauty.or.physical.setting.of.Somerville_2013,How.would.you.rate.the.following..The.effectiveness.of.the.local.police_2011_2013,How.would.you.rate.the.following..Your.trust.in.the.local.police_2015,How.would.you.rate.the.following..The.maintenance.of.streets..sidewalks..and..squares_2013,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks_2015,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night_2013,How.safe.do.you.feel.walking.in.your.community.at.night._2015,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood.,How.satisfied.are.you.with.the.appearance.of.parks.in.your.neighborhood._2013,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood.,What.is.your.sex.,What.is.your.gender._2011,Age.,Marital.status._2011,What.language..other.than.English..do.you.speak.at.home._2015,What.is.your.race_2011_2013,Are.you.of.Hispanic..Latino..or.Spanish.origin._2013,What.is.your.race.or.ethnicity._2015,Do.you.have.children.age.18.or.younger.who.live.with.you.,Describe.your.housing.status.in.Somerville.,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years.,How.long.have.you.lived.here.,What.is.your.annual.household.income.,What.neighborhood.do.you.live.in.,Are.you.a.student.,Ward,Precinct
96,2015,10,9,7,NA,NA,7,6,3,NA,2,NA,3,NA,NA,NA,3,NA,4,4,NA,7,4,NA,7,Female,NA,25-34,NA,none,NA,NA,White,No,Rent,Yes,1-3 years,"$100,000 to $149,999",Ward two/ Cobbie Hill/ Union Square ( near Target on Somervlle ave),No,2,1
97,2015,8,8,7,NA,NA,7,8,4,NA,3,NA,2,NA,NA,NA,3,NA,2,4,NA,8,8,NA,8,Female,NA,35-44,NA,French,NA,NA,White,Yes,Own,No,8-10 years,"$100,000 to $149,999",Davis Square,No,7,3
98,2015,8,8,9,NA,NA,10,7,3,NA,3,NA,NA,NA,NA,NA,NA,NA,3,4,NA,9,7,NA,6,Female,NA,18-24,NA,none,NA,NA,White,No,Rent,No,Less than a year,"$25,000 to $49,999",West Somerville Teele Square ,No,7,3
99,2015,8,8,9,NA,NA,9,9,5,NA,2,NA,3,NA,NA,NA,5,NA,5,5,NA,9,9,NA,9,Male,NA,55-64,NA,None,NA,NA,White,No,Own,No,21 years or more,"$100,000 to $149,999",Ward 7,No,7,1
100,2015,7,8,8,NA,NA,8,9,5,NA,3,NA,3,NA,NA,NA,3,NA,2,5,NA,8,5,NA,7,Female,NA,65-74,NA,None,NA,NA,White,No,Other,No,21 years or more,"$50,000 to $74,999",Brick Bottom,No,2,1
101,2015,9,10,9,NA,NA,8,10,2,NA,2,NA,NA,NA,NA,NA,5,NA,3,4,NA,4,8,NA,8,Female,NA,18-24,NA,none,NA,NA,White,No,Rent,Yes,1-3 years,"Less than $10,000",Prospect Hill,No,3,1
102,2015,10,10,10,NA,NA,10,10,5,NA,5,NA,5,NA,NA,NA,5,NA,5,5,NA,10,10,NA,10,Female,NA,65-74,NA,None,NA,NA,White,No,Rent,No,21 years or more,"$10,000 to $24,999",West Somerville,No,7,2
103,2015,6,6,9,NA,NA,9,8,4,NA,3,NA,2,NA,NA,NA,4,NA,4,4,NA,10,9,NA,9,Female,NA,45-54,NA,none,NA,NA,White,No,Rent,No,4-7 years,"$100,000 to $149,999",West Somerville Near Cedar & Highland,No,5,3
104,2015,7,8,7,NA,NA,7,7,3,NA,3,NA,3,NA,NA,NA,3,NA,3,4,NA,6,5,NA,5,Female,NA,18-24,NA,None,NA,NA,White,No,Rent,No,1-3 years,"$10,000 to $24,999",Porter Square,No,5,3
105,2015,10,10,10,NA,NA,10,10,4,NA,2,NA,4,NA,NA,NA,4,NA,4,4,NA,10,10,NA,10,Male,NA,45-54,NA,Haitien Creol,NA,NA,Black / African American,No,Own,No,21 years or more,,East Somerville ,No,1,1
106,2015,8,9,10,NA,NA,8,10,5,NA,3,NA,2,NA,NA,NA,4,NA,4,4,NA,8,3,NA,3,Female,NA,25-34,NA,None,NA,NA,White,No,Own,No,4-7 years,"$150,000 or more",East Somerville,No,1,1
107,2015,8,8,8,NA,NA,8,8,4,NA,3,NA,4,NA,NA,NA,4,NA,2,4,NA,5,5,NA,7,Female,NA,35-44,NA,none,NA,NA,White,Yes,Own,No,4-7 years,,East Somerville ,No,1,2
108,2015,6,8,10,NA,NA,10,8,5,NA,2,NA,3,NA,NA,NA,4,NA,4,5,NA,6,7,NA,9,Female,NA,75 or older,NA,None,NA,NA,White,No,,,21 years or more,"$50,000 to $74,999",West Somerville,No,7,1
109,2015,7,8,7,NA,NA,7,8,4,NA,1,NA,NA,NA,NA,NA,3,NA,2,NA,NA,8,6,NA,7,Male,NA,45-54,NA,None,NA,NA,White,No,Rent,,4-7 years,"$75,000 to $99,999",Davis/Teele,No,7,1
110,2015,7,8,10,NA,NA,8,8,5,NA,3,NA,3,NA,NA,NA,3,NA,5,5,NA,8,5,NA,7,Female,NA,65-74,NA,none,NA,NA,White,No,Own,No,8-10 years,,Teele Square ,No,7,2
111,2015,7,7,7,NA,NA,7,7,4,NA,1,NA,3,NA,NA,NA,4,NA,4,3,NA,7,5,NA,6,Male,NA,35-44,NA, None,NA,NA,White,No,Rent,No,Less than a year,"$75,000 to $99,999",Spring Hill,No,3,3
112,2015,,,9,NA,NA,9,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,2,4,NA,10,8,NA,9,Male,NA,18-24,NA,none,NA,NA,White,No,Rent,No,Less than a year,"$50,000 to $74,999",Ward 2,Yes,2,3
113,2015,9,9,9,NA,NA,9,9,5,NA,2,NA,4,NA,NA,NA,5,NA,4,5,NA,9,6,NA,5,Female,NA,35-44,NA,None,NA,NA,White,No,Rent,No,Less than a year,"$50,000 to $74,999",Davis Square,No,6,1
114,2015,8,8,8,NA,NA,9,9,5,NA,4,NA,2,NA,NA,NA,4,NA,3,5,NA,9,9,NA,9,Female,NA,35-44,NA,none,NA,NA,White,Yes,Own,Yes,4-7 years,,Union Square ,No,3,1
115,2015,9,9,5,NA,NA,5,5,3,NA,3,NA,1,NA,NA,NA,3,NA,2,3,NA,6,3,NA,6,Female,NA,35-44,NA,None,NA,NA,Asian,Yes,Own,Yes,4-7 years,,Teele Square,No,7,2
116,2015,8,8,3,NA,NA,5,5,3,NA,4,NA,5,NA,NA,NA,4,NA,5,4,NA,8,9,NA,8,Female,NA,18-24,NA,"Spanish, English",NA,NA,Hispanic / Latino,Yes,Rent,Yes,1-3 years,"$10,000 to $24,999",David Square ,Yes,3,2
117,2015,8,8,10,NA,NA,10,10,5,NA,1,NA,3,NA,NA,NA,4,NA,5,5,NA,10,7,NA,8,Female,NA,25-34,NA,None,NA,NA,White,Yes,Own,No,1-3 years,"$100,000 to $149,999",Union Square/Spring Hill,No,2,3
118,2015,8,9,10,NA,NA,10,10,5,NA,4,NA,5,NA,NA,NA,5,NA,5,4,NA,8,10,NA,10,Female,NA,55-64,NA,none,NA,NA,White,No,Other,No,21 years or more,,Spring Hill,No,3,3
119,2015,10,10,10,NA,NA,10,10,5,NA,5,NA,3,NA,NA,NA,4,NA,4,5,NA,8,8,NA,9,Male,NA,75 or older,NA,Bangladeshi,NA,NA,Asian,No,Own,No,21 years or more,"$25,000 to $49,999",American,No,7,1
120,2015,8,7,9,NA,NA,7,9,5,NA,4,NA,4,NA,NA,NA,3,NA,3,4,NA,9,7,NA,7,Female,NA,25-34,NA,None,NA,NA,White,No,Own,No,4-7 years,"$150,000 or more",Winter Hill/Magoun Square,No,5,1
121,2015,10,9,10,NA,NA,8,10,4,NA,2,NA,NA,NA,NA,NA,3,NA,4,5,NA,10,9,NA,9,Male,NA,35-44,NA,none,NA,NA,White,No,Own,No,4-7 years,"$100,000 to $149,999",Spring Hill,No,3,3
122,2015,8,9,8,NA,NA,7,8,5,NA,3,NA,NA,NA,NA,NA,4,NA,2,3,NA,7,6,NA,8,Female,NA,25-34,NA,none,NA,NA,White,No,Rent,No,1-3 years,"$50,000 to $74,999",East Somerville,Yes,1,1
123,2015,9,,9,NA,NA,9,9,4,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,9,9,NA,9,Male,NA,55-64,NA,Tibetain,NA,NA,Asian,No,Own,No,,"$25,000 to $49,999","China, Nepal, American ",No,4,2
124,2015,10,10,10,NA,NA,10,10,5,NA,4,NA,4,NA,NA,NA,4,NA,4,5,NA,10,10,NA,9,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,Yes,1-3 years,"$150,000 or more",Davis Square,No,6,1
125,2015,9,9,4,NA,NA,3,3,3,NA,1,NA,3,NA,NA,NA,2,NA,1,2,NA,3,6,NA,5,Male,NA,35-44,NA,none,NA,NA,White,Yes,Rent,Yes,8-10 years,"$100,000 to $149,999",West Somerville,No,7,1
126,2015,10,9,10,NA,NA,8,10,5,NA,2,NA,NA,NA,NA,NA,4,NA,4,5,NA,9,4,NA,9,Female,NA,75 or older,NA,None,NA,NA,White,No,Own,No,8-10 years,,Davis Square,No,6,1
127,2015,10,10,10,NA,NA,10,10,5,NA,5,NA,5,NA,NA,NA,5,NA,5,5,NA,10,10,NA,10,Female,NA,75 or older,NA,none,NA,NA,White,No,Rent,No,21 years or more,,Winter Hill,No,4,3
128,2015,8,8,6,NA,NA,7,7,4,NA,4,NA,3,NA,NA,NA,4,NA,3,3,NA,8,8,NA,9,Male,NA,25-34,NA,None,NA,NA,"White, Asian",No,Rent,Yes,1-3 years,"$25,000 to $49,999",Magoun Square Area,Yes,5,2
129,2015,10,10,9,NA,NA,10,9,5,NA,4,NA,5,NA,NA,NA,4,NA,5,4,NA,9,9,NA,9,Female,NA,75 or older,NA,None,NA,NA,White,Yes,Own,No,21 years or more,"$50,000 to $74,999",Winter Hill,No,4,3
130,2015,8,10,9,NA,NA,8,9,4,NA,2,NA,3,NA,NA,NA,4,NA,3,3,NA,3,4,NA,5,Female,NA,55-64,NA,none,NA,NA,White,No,Rent,No,11-15 years,"$50,000 to $74,999",East ,No,1,2
131,2015,7,7,8,NA,NA,9,8,3,NA,3,NA,2,NA,NA,NA,4,NA,4,4,NA,8,6,NA,7,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,4-7 years,"$100,000 to $149,999",Highland + Cedar,No,5,3
132,2015,8,10,10,NA,NA,10,10,5,NA,2,NA,2,NA,NA,NA,4,NA,5,5,NA,9,9,NA,9,Female,NA,25-34,NA,none,NA,NA,White,No,Own,No,Less than a year,"$150,000 or more",Billiningham St,No,6,3
133,2015,8,9,9,NA,NA,8,9,5,NA,3,NA,2,NA,NA,NA,4,NA,4,5,NA,6,8,NA,8,Female,NA,35-44,NA,None,NA,NA,Asian,Yes,Own,No,8-10 years,"$150,000 or more",Davis Square/Ball Square,No,5,2
134,2015,9,9,9,NA,NA,9,9,5,NA,2,NA,4,NA,NA,NA,5,NA,5,NA,NA,10,8,NA,8,Male,NA,65-74,NA,none,NA,NA,White,No,Own,No,1-3 years,,East Somerville,No,1,3
135,2015,8,7,7,NA,NA,6,7,3,NA,1,NA,2,NA,NA,NA,3,NA,3,1,NA,7,6,NA,6,Female,NA,45-54,NA,None,NA,NA,White,No,Own,,11-15 years,"$100,000 to $149,999",Magoun Square,No,5,1
136,2015,9,9,9,NA,NA,8,8,5,NA,3,NA,4,NA,NA,NA,3,NA,4,3,NA,9,8,NA,8,Male,NA,25-34,NA,None,NA,NA,"Asian, Other",No,Rent,No,1-3 years,"$25,000 to $49,999",,No,3,3
137,2015,10,10,8,NA,NA,10,9,5,NA,2,NA,3,NA,NA,NA,3,NA,3,5,NA,10,8,NA,5,Female,NA,35-44,NA,Hebrew,NA,NA,White,No,Rent,Yes,1-3 years,"$25,000 to $49,999",Union Square,No,3,2
138,2015,7,7,9,NA,NA,9,8,4,NA,3,NA,4,NA,NA,NA,4,NA,3,4,NA,8,8,NA,8,Female,NA,25-34,NA, None,NA,NA,White,No,Rent,No,1-3 years,"$25,000 to $49,999",Spring Hill,No,2,3
139,2015,8,8,9,NA,NA,8,9,5,NA,4,NA,NA,NA,NA,NA,5,NA,5,4,NA,7,7,NA,8,Female,NA,45-54,NA,English,NA,NA,White,No,Own,No,4-7 years,"$100,000 to $149,999",Winter Hill,No,4,3
140,2015,8,8,8,NA,NA,8,8,3,NA,2,NA,2,NA,NA,NA,3,NA,3,3,NA,8,7,NA,7,"Female, Male",NA,35-44,NA,Arabic,NA,NA,"White, Other",No,Own,No,4-7 years,"$150,000 or more",Davis & Porter,No,5,2
141,2015,7,8,6,NA,NA,7,7,3,NA,3,NA,NA,NA,NA,NA,4,NA,1,3,NA,1,1,NA,3,Female,NA,55-64,NA,None,NA,NA,White,No,Own,No,16-20 years,"$75,000 to $99,999",Magoun,No,3,2
142,2015,7,7,9,NA,NA,8,9,3,NA,1,NA,NA,NA,NA,NA,3,NA,4,3,NA,7,7,NA,10,Female,NA,25-34,NA,none,NA,NA,White,No,Rent,Yes,1-3 years,,West Somerville ,Yes,5,3
143,2015,8,7,7,NA,NA,9,8,5,NA,4,NA,NA,NA,NA,NA,5,NA,5,5,NA,9,9,NA,10,Male,NA,25-34,NA,None,NA,NA,White,No,Rent,Yes,1-3 years,,Prospect Hill,No,3,1
144,2015,8,8,9,NA,NA,8,10,5,NA,4,NA,NA,NA,NA,NA,5,NA,4,5,NA,8,8,NA,9,Female,NA,65-74,NA,home,NA,NA,White,No,Own,No,21 years or more,,West Somerville,No,7,3
145,2015,8,9,8,NA,NA,8,7,4,NA,1,NA,3,NA,NA,NA,5,NA,3,5,NA,10,9,NA,9,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,1-3 years,"$150,000 or more",Davis Square,No,6,1
146,2015,5,4,5,NA,NA,6,7,4,NA,2,NA,NA,NA,NA,NA,3,NA,4,4,NA,8,6,NA,6,Female,NA,25-34,NA,none,NA,NA,White,No,Rent,No,4-7 years,"$25,000 to $49,999",Union Square,No,2,3
147,2015,10,10,10,NA,NA,10,10,5,NA,1,NA,4,NA,NA,NA,3,NA,5,5,NA,10,10,NA,10,Female,NA,65-74,NA,None,NA,NA,White,Yes,Own,No,21 years or more,"$75,000 to $99,999",Ball Square Area,No,5,2
148,2015,7,8,7,NA,NA,8,8,4,NA,1,NA,3,NA,NA,NA,2,NA,4,4,NA,9,8,NA,7,Male,NA,35-44,NA,none,NA,NA,Asian,No,Rent,Yes,4-7 years,"$100,000 to $149,999",Winter Hill,No,5,1
149,2015,9,10,10,NA,NA,7,10,5,NA,4,NA,NA,NA,NA,NA,3,NA,5,5,NA,6,6,NA,10,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,4-7 years,"$100,000 to $149,999","Conway Park, Between Porter & Union",No,2,3
150,2015,1,2,9,NA,NA,9,9,5,NA,1,NA,5,NA,NA,NA,3,NA,5,5,NA,2,2,NA,6,Male,NA,25-34,NA,espanol,NA,NA,Hispanic / Latino,Yes,Rent,No,1-3 years,"$10,000 to $24,999",Marshall St,No,4,2
151,2015,8,9,8,NA,NA,9,9,4,NA,2,NA,4,NA,NA,NA,4,NA,4,4,NA,4,7,NA,8,Female,NA,25-34,NA,NA,NA,NA,White,No,Rent,No,1-3 years,"$25,000 to $49,999",Kirkland Square,Yes,2,3
152,2015,10,10,10,NA,NA,10,10,5,NA,5,NA,NA,NA,NA,NA,5,NA,4,5,NA,9,10,NA,9,Female,NA,45-54,NA,Spanish & Dutch,NA,NA,Hispanic / Latino,No,Rent,No,1-3 years,"$10,000 to $24,999",East Somerville,No,1,1
153,2015,5,5,7,NA,NA,7,9,5,NA,2,NA,4,NA,NA,NA,4,NA,5,5,NA,9,3,NA,8,Female,NA,25-34,NA,none,NA,NA,White,No,Rent,Yes,1-3 years,"$25,000 to $49,999",Spring Hill,No,5,1
154,2015,9,9,10,NA,NA,10,10,5,NA,3,NA,4,NA,NA,NA,4,NA,4,4,NA,9,7,NA,9,Female,NA,55-64,NA,None,NA,NA,White,No,Rent,No,16-20 years,"$50,000 to $74,999",Davis Square,No,6,1
155,2015,10,10,10,NA,NA,10,10,5,NA,2,NA,4,NA,NA,NA,4,NA,2,3,NA,8,4,NA,8,Male,NA,45-54,NA,Japanese ,NA,NA,Asian,No,Rent,No,16-20 years,"$150,000 or more",none,No,2,3
156,2015,7,7,8,NA,NA,7,8,5,NA,3,NA,3,NA,NA,NA,4,NA,4,5,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,,,,,,,,,NA,NA
157,2015,8,10,8,NA,NA,6,10,5,NA,3,NA,3,NA,NA,NA,4,NA,4,4,NA,8,5,NA,5,Female,NA,45-54,NA,None,NA,NA,White,No,Own,No,21 years or more,"$100,000 to $149,999",Gilman Square/Winter Valley,No,4,2
158,2015,6,7,8,NA,NA,10,8,3,NA,2,NA,3,NA,NA,NA,3,NA,5,4,NA,9,8,NA,7,Male,NA,18-24,NA,NA,NA,NA,White,No,Rent,No,Less than a year,"$25,000 to $49,999",,No,2,2
159,2015,7,7,8,NA,NA,8,9,4,NA,1,NA,3,NA,NA,NA,3,NA,3,4,NA,7,7,NA,8,Female,NA,25-34,NA,None,NA,NA,White,No,Own,No,1-3 years,"$25,000 to $49,999",Spring Hill,Yes,5,3
160,2015,8,8,8,NA,NA,9,9,5,NA,1,NA,4,NA,NA,NA,4,NA,4,5,NA,7,8,NA,8,Female,NA,35-44,NA,none,NA,NA,White,No,Rent,No,4-7 years,"$50,000 to $74,999",Union Square,No,3,2
161,2015,7,8,6,NA,NA,7,8,5,NA,2,NA,2,NA,NA,NA,4,NA,4,5,NA,8,7,NA,8,Male,NA,25-34,NA,None,NA,NA,White,No,Rent,Yes,8-10 years,"$100,000 to $149,999",Porter/Davis,No,6,1
162,2015,8,8,7,NA,NA,7,10,5,NA,3,NA,5,NA,NA,NA,4,NA,5,5,NA,9,10,NA,10,Female,NA,55-64,NA,Spanish,NA,NA,White,Yes,Rent,No,21 years or more,"$50,000 to $74,999",Davis Square Area,No,3,3
163,2015,10,8,10,NA,NA,10,10,3,NA,4,NA,4,NA,NA,NA,5,NA,1,3,NA,6,10,NA,3,Female,NA,75 or older,NA,None,NA,NA,Black / African American,No,Own,No,11-15 years,,East Somerville,No,1,1
164,2015,9,8,7,NA,NA,7,7,4,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,8,6,NA,7,Male,NA,25-34,NA,Spanish,NA,NA,White,No,Rent,Yes,Less than a year,"$50,000 to $74,999",Spring Hill,No,5,3
165,2015,10,10,10,NA,NA,10,10,5,NA,1,NA,5,NA,NA,NA,5,NA,5,5,NA,9,10,NA,10,Female,NA,65-74,NA,Espanol ,NA,NA,Hispanic / Latino,No,Rent,Yes,11-15 years,"$25,000 to $49,999",Portuguese ,No,3,2
166,2015,7,10,8,NA,NA,8,6,3,NA,2,NA,NA,NA,NA,NA,3,NA,2,2,NA,8,6,NA,10,Male,NA,18-24,NA,German,NA,NA,White,No,Rent,Yes,1-3 years,"$25,000 to $49,999",Spring Hill,No,5,3
167,2015,7,8,10,NA,NA,10,10,4,NA,3,NA,3,NA,NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,,,,,,,,,7,1
168,2015,1,10,10,NA,NA,1,5,5,NA,5,NA,1,NA,NA,NA,1,NA,5,1,NA,1,10,NA,1,Female,NA,75 or older,NA,Portuguese!,NA,NA,Asian,Yes,Other,No,16-20 years,"$150,000 or more",Winter Hill,Yes,5,3
169,2015,9,9,6,NA,NA,7,7,2,NA,1,NA,NA,NA,NA,NA,5,NA,1,5,NA,10,3,NA,8,Female,NA,25-34,NA,none,NA,NA,White,No,Rent,Yes,1-3 years,"$75,000 to $99,999",Davis,No,7,1
170,2015,8,8,8,NA,NA,8,8,4,NA,4,NA,4,NA,NA,NA,4,NA,1,3,NA,5,5,NA,8,Male,NA,75 or older,NA,None,NA,NA,White,No,Own,No,21 years or more,"$25,000 to $49,999",Ward #2,No,2,3
171,2015,10,10,8,NA,NA,8,NA,5,NA,3,NA,NA,NA,NA,NA,3,NA,3,5,NA,10,8,NA,9,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,4-7 years,"$150,000 or more",Winter Hill,No,NA,NA
172,2015,9,9,9,NA,NA,8,9,5,NA,2,NA,3,NA,NA,NA,4,NA,4,3,NA,7,6,NA,8,Male,NA,25-34,NA,NA,NA,NA,Hispanic / Latino,No,Rent,No,1-3 years,"$150,000 or more",Somerville Hospital,No,5,3
173,2015,3,2,6,NA,NA,6,6,5,NA,3,NA,3,NA,NA,NA,1,NA,3,5,NA,8,4,NA,4,Male,NA,25-34,NA,None,NA,NA,White,No,Own,No,1-3 years,"$25,000 to $49,999",Winter Hill - Gilman Square,No,4,2
174,2015,8,8,8,NA,NA,8,8,4,NA,3,NA,NA,NA,NA,NA,NA,NA,3,4,NA,8,7,NA,8,Male,NA,55-64,NA,none,NA,NA,White,No,Rent,No,4-7 years,"$50,000 to $74,999",Between Union Square and Porter Square ,No,2,3
175,2015,8,9,9,NA,NA,10,10,5,NA,2,NA,3,NA,NA,NA,4,NA,2,5,NA,10,8,NA,10,Female,NA,25-34,NA,None,NA,NA,White,No,Rent,No,4-7 years,"$50,000 to $74,999",Inman Square,No,2,1
176,2015,9,8,9,NA,NA,9,8,4,NA,1,NA,NA,NA,NA,NA,3,NA,4,5,NA,8,9,NA,8,Female,NA,35-44,NA,None,NA,NA,Asian,No,Rent,No,1-3 years,"$100,000 to $149,999",Ball Square,No,5,2
177,2015,6,5,7,NA,NA,5,8,3,NA,2,NA,NA,NA,NA,NA,3,NA,2,4,NA,6,5,NA,5,Male,NA,45-54,NA,none,NA,NA,White,No,Own,Yes,11-15 years,"$75,000 to $99,999",Says #3 on Parking permit,No,3,3
178,2015,8,7,8,NA,NA,8,8,5,NA,4,NA,NA,NA,NA,NA,4,NA,3,5,NA,9,8,NA,8,Female,NA,35-44,NA,none,NA,NA,White,No,Rent,No,8-10 years,"$75,000 to $99,999",Union Square to Prospect Hill,No,3,1
179,2015,6,6,10,NA,NA,10,10,5,NA,3,NA,3,NA,NA,NA,4,NA,4,5,NA,5,9,NA,9,Female,NA,25-34,NA,none,NA,NA,White,No,Own,No,4-7 years,"$50,000 to $74,999",Ball Square/ Davis Square,No,5,3
180,2015,6,6,8,NA,NA,8,9,3,NA,1,NA,NA,NA,NA,NA,3,NA,1,5,NA,6,NA,NA,NA,Female,NA,45-54,NA,"Yiddish, latin",NA,NA,Other,No,Rent,Yes,8-10 years,"$150,000 or more",Inman! The epicenter of the hipster Invasion,No,2,1
181,2015,6,6,5,NA,NA,7,3,3,NA,1,NA,2,NA,NA,NA,4,NA,4,NA,NA,4,3,NA,4,Female,NA,55-64,NA,NA,NA,NA,White,No,Rent,,21 years or more,"$25,000 to $49,999",Porter Square,No,5,3
182,2015,9,9,3,NA,NA,4,5,4,NA,3,NA,3,NA,NA,NA,4,NA,4,5,NA,9,4,NA,9,Male,NA,65-74,NA,NA,NA,NA,White,No,Own,No,16-20 years,"$25,000 to $49,999",Porter Square,No,5,3
183,2015,7,7,10,NA,NA,10,10,4,NA,3,NA,NA,NA,NA,NA,5,NA,5,5,NA,5,7,NA,10,Female,NA,25-34,NA,NA,NA,NA,White,No,Other,No,4-7 years,"$50,000 to $74,999",East Somerville,No,1,2
184,2015,7,7,9,NA,NA,9,10,3,NA,2,NA,NA,NA,NA,NA,4,NA,4,5,NA,8,9,NA,9,Female,NA,25-34,NA,NA,NA,NA,White,No,,No,4-7 years,"$50,000 to $74,999",Union Square,No,3,2
185,2015,9,9,8,NA,NA,9,9,5,NA,3,NA,2,NA,NA,NA,5,NA,5,5,NA,9,8,NA,8,Male,NA,25-34,NA,NA,NA,NA,White,Yes,Own,No,4-7 years,"$150,000 or more","Cobble Hill - in between Inman and Union, near Lincoln Park",No,2,2
186,2013,10,10,1,NA,NA,10,NA,NA,NA,5,NA,1,NA,3,5,NA,4,NA,3,10,NA,6,8,NA,Male,NA,45-54,NA,NA,White,no,NA,yes,NA,yes,21 years or more,"$150,000 or more",,no,2,3
187,2013,3,2,7,NA,NA,6,NA,NA,NA,2,NA,2,NA,3,4,NA,3,NA,4,7,NA,6,6,NA,Female,NA,25-34,NA,NA,White,no,NA,no,NA,yes,11-15 years,"$50,000 to $74,999",Porter Square,no,5,3
188,2013,8,8,8,NA,NA,8,NA,NA,NA,5,NA,5,NA,3,5,NA,3,NA,4,9,NA,5,4,NA,Male,NA,35-44,NA,NA,Asian,no,NA,yes,NA,yes,4-7 years,"$50,000 to $74,999",Somerville Hospital Area,no,5,3
189,2013,6,6,1,NA,NA,5,NA,NA,NA,3,NA,3,NA,3,3,NA,2,NA,4,4,NA,3,8,NA,Female,NA,55-64,NA,NA,White,no,NA,no,NA,no,21 years or more,"Less than $10,000",75 Myrtle St.,no,1,2
190,2013,5,5,5,NA,NA,5,NA,NA,NA,3,NA,3,NA,4,3,NA,3,NA,3,5,NA,5,6,NA,Female,NA,45-54,NA,NA,Black/African American,no,NA,yes,NA,yes,11-15 years,"$25,000 to $49,999",Pearl St.,no,1,1
191,2013,8,8,8,NA,NA,6,NA,NA,NA,3,NA,NA,NA,4,4,NA,4,NA,5,6,NA,6,6,NA,Female,NA,25-34,NA,NA,White,no,NA,no,NA,no,Less than a year,"$75,000 to $99,999",Ball Square,no,5,2
192,2013,9,9,8,NA,NA,8.5,NA,NA,NA,4,NA,4,NA,5,4,NA,4,NA,NA,9,NA,8.5,9,NA,Male,NA,35-44,NA,NA,Asian,no,NA,no,NA,no,4-7 years,"$10,000 to $24,999",Central St.,no,3,2
193,2013,10,10,9,NA,NA,9,NA,NA,NA,4,NA,NA,NA,4,NA,NA,3,NA,4,8,NA,8,8,NA,Female,NA,,NA,NA,Asian,no,NA,no,NA,no,Less than a year,,near Union Square,no,2,3
194,2013,5.5,3,8,NA,NA,8,NA,NA,NA,3,NA,2,NA,3,3,NA,2,NA,4,7,NA,7,8,NA,Female,NA,65-74,NA,NA,Asian,no,NA,no,NA,no,21 years or more,"$25,000 to $49,999",Prospect Hill,no,3,1
195,2013,8,8,8,NA,NA,8,NA,NA,NA,3,NA,NA,NA,4,3,NA,2,NA,4.5,7,NA,6,6,NA,Female,NA,25-34,NA,NA,White,no,NA,no,NA,no,4-7 years,"$50,000 to $74,999",Spring Hill/Magoun,,5,2
196,2013,8,8,10,NA,NA,8,NA,NA,NA,2,NA,4,NA,4,5,NA,5,NA,5,10,NA,8,10,NA,Female,NA,65-74,NA,NA,White,no,NA,no,NA,no,16-20 years,"$50,000 to $74,999",Teele Square,no,7,2
197,2013,10,10,10,NA,NA,10,NA,NA,NA,5,NA,5,NA,5,5,NA,5,NA,5,10,NA,10,10,NA,Male,NA,65-74,NA,NA,White,no,NA,yes,NA,no,21 years or more,"$50,000 to $74,999",Union Square,no,2,2
198,2013,9,9,10,NA,NA,10,NA,NA,NA,3,NA,5,NA,4,5,NA,3,NA,4,10,NA,9,10,NA,Male,NA,65-74,NA,NA,White,no,NA,no,NA,no,21 years or more,"$10,000 to $24,999",Waldo Ave (off of Beacon St.),no,2,2
